Internal Reference,Name,Source
1-18-17-S1,H. CAMISA P/S BRUNO CASSINI PURPLE 32-33,variant
1-18-17-S2,H. CAMISA P/S BRUNO CASSINI PURPLE 32-33,variant
10896T,BLUSA IDEM DITTO,simple
10896T/L,BLUSA IDEM DITTO TALLA L,variant
10896T/M,BLUSA IDEM DITTO TALLA L,variant
10896T/S,BLUSA IDEM DITTO TALLA L,variant
1100-BG/M,M. TOP P/DAMA BEIGE,variant
1100-BL/M,M. TOP P/DAMA BLACK,variant
11901-16.5-S1,Camisa 11901,variant
11901-16.5-S2,Camisa 11901,variant
12001DC-16.5-S1,H. CAMISA D/P BRUNO CASSINI WHITE 34-35 (12001dc),variant
12001DC-16.5-S2,H. CAMISA D/P BRUNO CASSINI WHITE 34-35 (12001dc),variant
12110BLACK-34,M.BRASSIERE CHAMELA,variant
150-3-17.5-S1,H. CAMISA P/S BRUNO CASSINI WHITE 34-35 (150_3),variant
150-3-17.5-S2,H. CAMISA P/S BRUNO CASSINI WHITE 34-35 (150_3),variant
150BG-3-18.5-S1,H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35 (150bg_3),variant
150BG-3-18.5-S2,H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35 (150bg_3),variant
15290-32,BRASSIER CHAMELA (15290),variant
16350/34,Terno 16350,variant
16360-34,"BRASSIER CHAMELA BLANCO, MORADO",variant
16380-34,BRASSIER CHAMELA,variant
16834-L,"BOXER CHAMELA AZUL, ROSA",variant
16900-34,BRASSIER CHAMELA ROSA,variant
16904-M,BOXER CHAMELA ROSA,variant
17910/BL-34,BRASSIER CHAMELA (BLANCO),variant
17910/NE-34,BRASSIER CHAMELA (NEGRO),variant
17911/BL-M,BRASILERA CHAMELA (BLANCO),variant
19203-15.5-S1,Camisa 19203,variant
19203-15.5-S2,Camisa 19203,variant
20002-16.5-S1,Camisa 20002,variant
20002-16.5-S2,Camisa 20002,variant
2007-BG/M,M. TOP P/DAMA BEIGE (2007_bg),variant
2007-BL/M,M. TOP P/DAMA BLACK (2007_bl),variant
2007-WH/M,M. TOP P/DAMA WHITE (2007_wh),variant
2279DW/S,VESTIDO CQ BY CQ T.S,variant
23E4246-15/46,Leva 23E4246-15,variant
2536-KAN-TALLY/28,Terno 2536-KAN-TALLY,variant
3-2-D#17-BU-14.5-S1,H. CAMISA P/CABALLERO P/S BLUE 32-33 BRUNO CASSINI (3_2_d_17_bu),variant
3-2MH-OR-16.5-S1,H. CAMISA P/CABALLERO P/S ORANGE 34-35 BRUNO CASSINI,variant
3-2MH-OR-16.5-S2,H. CAMISA P/CABALLERO P/S ORANGE 34-35 BRUNO CASSINI,variant
41680-34,BRASIER ROMANTICO ST. EVEN,variant
43290/34,Terno 43290,variant
43500-SAL,SALMON 32 BRASIER ESENCIAL ST EVEN,simple
43500/32,Terno 43500,variant
43500/AM-36,BRASIER ESENCIAL ST. EVEN (43500_am),variant
43500/BL-32,BRASIER ESENCIAL ST-EVEN,variant
43510/34,Terno 43510,variant
43541/L,BRASILERA ROMANTICA,variant
43SW7026-S,CAMISA M/C CASUAL HOMBRE,variant
442199090/37-38,H. HORMA P/ZAPATOS BRUNO CASSINI TL 37-38,variant
442199090/39-40,H. HORMA P/ZAPATOS BRUNO CASSINI TL 39-40,variant
442199090/41-42,H. HORMA P/ZAPATOS BRUNO CASSINI TL 41-42,variant
442199090/43-44,H. HORMA P/ZAPATOS BRUNO CASSINI TL 43-44,variant
4S22009-1-17-S1,H. CAMISA P/S BRUNO CASSINI WHITE 34-35 (4s22009_1),variant
4S22009-1-17-S2,H. CAMISA P/S BRUNO CASSINI WHITE 34-35 (4s22009_1),variant
5000-BG/M,M. TOP P/DAMA BIEGE,variant
5000-WH/M,M. TOP P/DAMA WHITE,variant
5010,CONJUNTO BRAZZIER - INT,simple
5010-15-S1,Camisa 5010,variant
5010-15-S2,Camisa 5010,variant
5010-15.5-S1,Camisa 5010,variant
5010-15.5-S2,Camisa 5010,variant
5010-16-S1,Camisa 5010,variant
5010-16-S2,Camisa 5010,variant
5010-16.5-S1,Camisa 5010,variant
5010-16.5-S2,Camisa 5010,variant
5010-17-S1,Camisa 5010,variant
5010-17-S2,Camisa 5010,variant
5010-17.5-S2,Camisa 5010,variant
562-15.5-S1,Camisa 562,variant
562-15.5-S2,Camisa 562,variant
603-3-15-S1,H. CAMISA P/S BRUNO CASSINI LINEN BLUE 32-33 (603_3),variant
603-3-15-S2,H. CAMISA P/S BRUNO CASSINI LINEN BLUE 32-33 (603_3),variant
81216-7,CAMISAS BRUNO CASSINI,variant
8656BL-12,M.PRINCIPIANTE BLUE 08,variant
8831-16.5-S1,Camisa 8831,variant
8831-16.5-S2,Camisa 8831,variant
9039 BL-16,M. BIKINI JUNIOR BLANCO FLOR,variant
9511TW,BLUSA CQ BY CQ,simple
9511TW/L,BLUSA CQ BY CQ TALLA L,variant
9511TW/S,BLUSA CQ BY CQ TALLA L,variant
A115-1-17.5-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35 (a115_1),variant
A151-82-17.5-S2,H. CAMISA P/S BRUNO CASSINI BLACK 34-35,variant
A151-82BG-17.5-S1,H. CAMISA P/S BIG SIZE BRUNO CASSINI BLACK 34-35 (a151_82bg),variant
A151-82BG-17.5-S2,H. CAMISA P/S BIG SIZE BRUNO CASSINI BLACK 34-35 (a151_82bg),variant
A158-3-17-S1,H. CAMISA P/S LIGHT BLUE BRUNO CASSINI 34-35 (a158_3),variant
A158-3-17-S2,H. CAMISA P/S LIGHT BLUE BRUNO CASSINI 34-35 (a158_3),variant
A158-4-14.5-S1,H. CAMISA P/S BLUE BRUNO CASSINI 32-33 (a158_4),variant
ACCE-12-18,BISUTERIA VARIOS MODELOS,variant
ACCE19-09-6,ACCESORIO - 2019-09 (acce19_09),variant
ACCE19-09-7,ACCESORIO - 2019-09 (acce19_09),variant
ACCE19-09-8,ACCESORIO - 2019-09 (acce19_09),variant
ACCE19-09-9,ACCESORIO - 2019-09 (acce19_09),variant
AT4266/L,BLUSA LOVE ENCOUNTER,variant
BL-DAFNE-NA-CA/S,BLUSA DAFNE P/DAMA NARANJA CAFE,variant
BM10814-32,JEANS SIX HOMBRE,variant
BM11115,JEANS KARSE DE HOMBRE,simple
BM11131-29,JEANS DRAYANN DE HOMBRE,variant
BM13521,JEANS KOBE HOMBRE 1005 ALGODON,simple
BM13708-28,KING PANTALON (bm13708),variant
BMO5961-29,H. PANTALON BUFFALO JECK,variant
BMO6226-30,H. PANTALON BUFFALO X-PERT,variant
BMO6234,H. JEANS MATTHEW BUFFALO,simple
BMO6483-29,H. JEANS BUFFALO-X GARRET,variant
BMO6604-30,H. JEANS BUFFALO MATHEW,variant
BMO7209-30,H. JEANS BUFFALO GAME,variant
BMO7217-32,H. JEANS BUFFALO,variant
BPM7120-34,JEANS SIMON DE HOMBRE,variant
BPM7473,KING PANTALON,simple
BPM7682,JEANS SAX DE HOMBRE 100 ALGODON,simple
BPM7770,JEANS DE HOMBRE 100 ALGODON,simple
BPM7770-28,JEANS DE HOMBRE 100 ALGODON (bpm7770),variant
BPM7770-29,JEANS DE HOMBRE 100 ALGODON (bpm7770),variant
BPM7770-30,JEANS DE HOMBRE 100 ALGODON (bpm7770),variant
BPM7770-31,JEANS DE HOMBRE 100 ALGODON (bpm7770),variant
BW4624/64-7,Corbata BW4624/64,variant
BW4624/98-7,Corbata BW4624/98,variant
CART-G-08-19,CARTERA GRANDE VARIOS MODELOS,variant
CE-BAJ-15-3915-17.5-S2,H. CAMISA P/S BIG SIZE BRUNO CASSINI SKY BLUE 34-35,variant
CH-24ES296-4/50,Chaleco CH-24ES296-4,variant
CMST-CV-B90-002GU/S,H. CAMISETA P/CABALLEROS CARVEN,variant
CMST-CV-B90-002WI/S,H. CAMISETA P/CABALLEROS WINE CARVEN,variant
CV-K02-083/S,CAMISA M/C CUADROS - FUCHSIA,variant
CV-U11-016-BU/36,Terno CV-U11-016-BU,variant
CV-U11-037-NV/42,Terno CV-U11-037-NV,variant
D5624,VESTIDO C/CINTURON SUGAR LIPS,simple
DFB3011-BLANCO/S,M. CONJUNTO PANT+ TOP P/DAMA BLANCO DANFIVE,variant
EFT-DC-BU-15.5-S1,H. CAMISA P/CABALLERO D/P BLUE 34-35 BRUNO CASSINI,variant
EFT-DC-BU-15.5-S2,H. CAMISA P/CABALLERO D/P BLUE 34-35 BRUNO CASSINI,variant
ENSTDO#4-BU-14.5-S1,H. CAMISA P/CABALLERO P/S BLUE 32-33 BRUNO CASSINI (enstdo_4_bu),variant
ERN-SABAT-1259-WM/S,BLUSA DE DAMA P/S BRUNO CASSINI WHITE T.S,variant
ESNS-PK-14.5-S1,H. CAMISA P/CABALLERO P/S PINK 32-33 BRUNO CASSINI,variant
FUND-ADAMS,FUNDAS PLASTICAS ADAMS,simple
FUND-ADAMS-15,FUNDAS ADAMS 18FLI,variant
FUND-ADAMS-18,FUNDAS ADAMS 18FLI,variant
FUND-NEG-16,FUNDA PREMIUN NEGRA P/ACCESORIO,variant
G07034AS/BLUE-28,RINSE BLUE,variant
HD42-126L-17-S1,H. CAMISA P/S BRUNO CASSINI LIGHT BLUE 32-33 (hd42_126l),variant
HD42-126L-17-S2,H. CAMISA P/S BRUNO CASSINI LIGHT BLUE 32-33 (hd42_126l),variant
HD42-B122BG-19-S1,H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35 (hd42_b122bg),variant
HD42-B122BG-19-S2,H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35 (hd42_b122bg),variant
IRE90495/S,M. JUMPER ENTERIZO INA,variant
J-32,JUMPER,variant
J11063/BLEACH BLUE-SH-28,SHORT P/DAMA OBSENA,variant
JY-10,M. JOYERO P/DAMA VARIOS MODELOS,variant
K818-1-16.5-S1,H. CAMISA P/S BRUNO CASSINI WHITE 34-35 (k818_1),variant
K818-1-16.5-S2,H. CAMISA P/S BRUNO CASSINI WHITE 34-35 (k818_1),variant
K818-3-16.5-S1,H. CAMISA P/S BRUNO CASSINI BLUE POINT 34-35,variant
K818-3-16.5-S2,H. CAMISA P/S BRUNO CASSINI BLUE POINT 34-35,variant
K820-6-17-S1,H. CAMISA P/S BRUNO CASSINI RED POINT 32-33,variant
K820-6-17-S2,H. CAMISA P/S BRUNO CASSINI RED POINT 32-33,variant
KAN-ANHOA/28,Terno KAN-ANHOA,variant
KSE-5022-6,Corbata KSE-5022,variant
L21SW-1-17.5-S2,H. CAMISA P/CABALLERO M/C WHITE 34-35 BRUNO CASSINI,variant
LB-601-7W (RD),"ROUND, COB, ADJUSTABLE LIGHT 7W 3000-3500K",simple
LBPC-A03-217S-RS/S,H. CAMISA M/C LONG BEACH ROSE,variant
LBPC-A31-254R-DKNV/XL,H. POLO LONG BEACH M/C P/CABALLERO DARK NAVY,variant
LV-008-BLACK-2/46,Leva LV-008-BLACK-2,variant
LV-12342-1/50,Leva LV-12342-1,variant
LV-17001-9/56,Leva LV-17001-9,variant
LV-23A29607-32/56,Leva LV-23A29607-32,variant
LV-23C25168-220/50,Leva LV-23C25168-220,variant
LV-23E3705-25/46,Leva LV-23E3705-25,variant
LV-24B11210-100/50,Leva LV-24B11210-100,variant
LV-24C28061-76/56,Leva LV-24C28061-76,variant
LV-25C29118-13/54,Leva LV-25C29118-13,variant
LV-GB-G11-002/40,Leva LV-GB-G11-002,variant
LV-TL10-658A/58,Leva LV-TL10-658A,variant
M-03-7,Corbata M-03,variant
MF8997/11-7.5,Corbata MF8997/11,variant
MMSL00425-FA430305-9024-46/S,SHIRT PRINTED FABRIC MORATO STEEL GREY,variant
MMSL00529-FA430374-6002-46/S,SHIRT LONG SLEEVE WITH VENT ON MORATO MULTCOLORE (mmsl00529_fa430374_6002_46),variant
MMSL00529-FA430374-6002-50/L,SHIRT LONG SLEEVE WITH VENT ON MORATO MULTCOLORE,variant
MMSL00538-FA430367-7073-46/S,SHIRT GOLD ON PRINTED FABRIC MORATO BLUE INK,variant
MMTR00498-FA800109-W00749-5065-36/50,Terno MMTR00498-FA800109-W00749-5065-36,variant
MMTR00498-FA800109-W00749-5065-38/52,Terno MMTR00498-FA800109-W00749-5065-38,variant
MMTR00498-FA800109-W00749-5065-40/54,Terno MMTR00498-FA800109-W00749-5065-40,variant
MMTR00498-FA800109-W00749-7013-38/52,Terno MMTR00498-FA800109-W00749-7013-38,variant
MMTR00498-W00749-5065-34/48,Terno MMTR00498-W00749-5065-34,variant
MR-10845-1/7,Terno MR-10845-1,variant
NODIM-DRIVER/7,Terno NODIM-DRIVER,variant
OMO0944-31,H. JEANS BUFFALO MAX,variant
OPBS5148-468.SH/31,Terno OPBS5148-468.SH,variant
PANT-PRISILA-S,PANTALON PRISILA,variant
PB-15,M. BRAZALETES P/DAMA VARIOS MODELOS,variant
PT-10036A-8-495/38,Pantalon PT-10036A-8-495,variant
PT-2070-2/28,Pantalon PT-2070-2,variant
PT-24C29918-16/38,Pantalon PT-24C29918-16,variant
PT-24E2712-3/36,Pantalon PT-24E2712-3,variant
PT-24E510097-5/46,Pantalon PT-24E510097-5,variant
PT-25C29118-10/32,Pantalon PT-25C29118-10,variant
PT-25C29118-13/38,Pantalon PT-25C29118-13,variant
PT-312010-4/44,Pantalon PT-312010-4,variant
PT-3742-1/20,Pantalon PT-3742-1,variant
PT-3803/50/46,Pantalon PT-3803/50,variant
PT-9A700112-3/40,Pantalon PT-9A700112-3,variant
PT-CV-B90-001HGR/S,H. PANTALON P/CABALLERO CARVEN (pt_cv_b90_001hgr),variant
PT-CV-B90-002GU/S,H. PANTALON P/CABALLERO CARVEN (pt_cv_b90_002gu),variant
PT-CV-B90-002WI/S,H. PANTALON P/CABALLERO CARVEN (pt_cv_b90_002wi),variant
PT-NIÑO/20,Pantalon PT-NIÑO,variant
PT-RS3688-BLK/M-L,PANTALON DE TERNO P/DAMA BRUNO CASSINI (pt_rs3688_blk_m),variant
PT-TL-10-400B-AZN/38,Pantalon PT-TL-10-400B-AZN,variant
PT-TL-10-656C/50,Pantalon PT-TL-10-656C,variant
PUL19-09-10,ACCESORIO - 2019-09,variant
PV-42,PANTALONETA DE NINO SOLEI,variant
PX-NZTD-30,LED DOWN LIGHT 30W 6000-6500K,variant
R679,PANTALON NEGRO - FUSHA S-M-L,simple
REF-CLARA-VE/M,M. VESTIDO MOPA VERDE,variant
REF-ELENA-AZ/M,M. VESTIDO MOPA AZUL (ref_elena_az),variant
REF-MARGARITA-RJ/S,M. VESTIDO MOPA ESTAMPADO ROJO,variant
RL-BL-14.5-S1,H. CAMISA P/CABALLERO P/S LIGHT BLUE 32-33 BRUNO CASSINI,variant
S299/301-7,Corbata S299/301,variant
S299/303-7,Corbata S299/303,variant
S299/322-7,Corbata S299/322,variant
SABI-FIESTA-38,M. CARTERA DE FIESTA VARIOS MD,variant
SD040-2B-CH/8,Terno SD040-2B-CH,variant
SET-CHARLOTTE/S,"SET CHARLOTTE, VERDE T.S",variant
SET-LUCERO-N/S,M. SET P/DAMA PISTACHIO LUCERO,variant
SET-MEG-YLW-L,SET MEGHAN YELLOW,variant
SET-MILI-NARA-BL/M,M. SET P/DAMA ARENA MILI NARA,variant
SHORT-CAIRO /M,SHORT LINO P/DAMA BEIGE / LADRILLO /NEGRO /VERDE ESTAMP,variant
T1005B-FUC-SEP/L,M. CAMISA P/DAMA FUCHSIA,variant
T1532,TOP-BLACK S-M-L,simple
T1532/L,TOP-BLACK P/DAMAS,variant
T1532/M,TOP-BLACK P/DAMAS,variant
T1532/S,TOP-BLACK P/DAMAS,variant
T1653,TWIST FRONT SATIN-ROJO S-M-L,simple
T1653/L,BLUSA TWIST FRONT SATIN ROJO,variant
T1653/M,BLUSA TWIST FRONT SATIN ROJO,variant
T1653/S,BLUSA TWIST FRONT SATIN ROJO,variant
TL-10-656A/56,Terno TL-10-656A,variant
TL-10-658B/58,Terno TL-10-658B,variant
TL-10-658C/58,Terno TL-10-658C,variant
TL-X25-502B.A/L,H. BERMUDA P/HOMBRE TED LAPIDUS NAVY,variant
TL-X25-502C.A/XL,H. BERMUDA P/HOMBRE TED LAPIDUS KHAKI,variant
VE-ANTONIA-CONSIG/L,VESTIDO ESTAMPADO FUCSIA,variant
VE-ARIADNA-BGE/S,VESTIDO ARIADNA BEIGE,variant
VE-DESTELLO/S,M. VESTIDO AZUL DESTELLO,variant
VE-ELA-LI-L,VESTIDO ELA LILA,variant
VE-GINB-FUC/L,VESTIDO GINEBRA FUCSIA,variant
VE-HEIDY-CONSIG/L,VESTIDO AZUL REY,variant
VE-ISA-RJ/M,M. VESTIDO P/DAMA ISA ROJO AZUL,variant
VE-KATYA-AZ/XL,VESTIDO KATYA AZUL,variant
VE-KATYA-PK/L,VESTIDO KATYA PINK,variant
VE-MADISON-VE/S,M. VESTIDO P/DAMA MADISON VERDE,variant
VE-MAIA-LNT-GRN/M,VESTIDO LENTEJUELA MAIA GREEN,variant
VE-MILENAG-GRN/M,VESTIDO MILENA GREEN,variant
VE-PASSION-BL-A/10,Terno VE-PASSION-BL-A,variant
VE-PASSION-DRO/8,Terno VE-PASSION-DRO,variant
VE-PASSION-ESL/10,Terno VE-PASSION-ESL,variant
VE-PASSION-OL/8,Terno VE-PASSION-OL,variant
VE-PAULINA-MAG-S,VESTIDO PAULINA MAGENTA,variant
VE-STELA-AZ/L,VESTIDO STELA AZUL,variant
VE-YESICA-NA/M,M. VESTIDO YESICA P/DAMA NARANJA,variant
VE-YESICA-WH/L,M. VESTIDO P/DAMA YESICA BLANCO,variant
VEST-ANAST-BGE/M,VESTIDO ANASTACIA BEIGE,variant
VEST-ROSE-BL/S,VESTIDO MOPA 2023-2 BLACK,variant
W028-62-6,PANTALON BRUNO CASSINI (MUJER),variant
W028-F9-6,Corbata W028-F9,variant
XLH1639-11/APRICOT-10,ZAPATOS OBSENA,variant
XLH1639-11/APRICOT-6,ZAPATOS OBSENA,variant
XLH1639-11/APRICOT-7,ZAPATOS OBSENA,variant
XLH1639-11/APRICOT-8,ZAPATOS OBSENA,variant
XLH1639-11/APRICOT-9,ZAPATOS OBSENA,variant
XLH1639-11/BLACK-6,Corbata XLH1639-11/BLACK,variant
Y17558,JUMPER ENTERIZO DO+BE,simple
Z-1759SIUK-AZ/38,Terno Z-1759SIUK-AZ,variant
Z-2836-DFV-NA/38,Terno Z-2836-DFV-NA,variant
Z-2839DFV-GD/38,Terno Z-2839DFV-GD,variant
Z-2839DFV-NE/38,Terno Z-2839DFV-NE,variant
Z-3021LAMO-NE/38,Terno Z-3021LAMO-NE,variant
Z-3125-PL-36,M. ZAPATO P/DAMA PLATA DFV,variant
Z-3130-PL-38,M. ZAPATO P/DAMA PLATA DFV (z_3130_pl),variant
Z-5325CLAPE-MO/38,Terno Z-5325CLAPE-MO,variant
Z-CH161-DAVI-8,Corbata Z-CH161-DAVI,variant
Z-SD913DAVI-RD/38,Terno Z-SD913DAVI-RD,variant
Z2625-NEGRO-8,ZAPATO NEGRO,variant
Z5911-ORO-8,Corbata Z5911-ORO,variant
Z723-PLATA-8,ZAPATO PLATA,variant
Z923-NEGRO-8,ZAPATO NEGRO (z923_negro),variant
ZP-GAM-OL-S/F-CASSINI/8,Zapato ZP-GAM-OL-S/F-CASSINI,variant
ZP-HJVB-GAM-GR/42,Zapato ZP-HJVB-GAM-GR,variant
